Departamento,Sexo,RangoEtario,NivelEducativo,IngresoPromedio,IngresoPromedioUSD,IngresoDesvEstandar,IngresoDesvEstandarUSD,HorasTrabajoPromedio,TasaActividadPonderada,TasaEmpleoPonderada,Poblacion
Gran Mendoza,Varón,60-64,Universitario de grado,165599.9531286618,1340.8903087341037,134086.7382245666,1085.7225767171385,52.99648464963675,0.8844621513944223,0.8844621513944223,188.0
Gran Mendoza,Varón,60-64,"Posgrado (especialización, maestría o doctorado)",114178.89726299088,924.5254839108574,62746.04032203596,508.0651038221535,18.845299484331616,0.6878222927409758,0.6878222927409758,133.0
Gran Mendoza,Varón,65+,Primario,44473.90087568836,360.11255769788147,10840.746232989264,87.77932172460943,3.325810237428907,0.1952694772952965,0.1952694772952965,844.0
Gran Mendoza,Varón,65+,Secundario,44559.9538372764,360.80934281195465,11299.322112657965,91.49248674216976,7.885862665897288,0.3536064627813041,0.3536064627813041,437.0
Gran Mendoza,Varón,65+,Terciario no universitario,51513.14298663041,417.1104695273717,18659.947204209784,151.09268991262982,7.296397008837525,0.1895535916610015,0.1895535916610015,354.0
Gran Mendoza,Varón,65+,Universitario de grado,64849.11872942088,525.0940787807359,50107.23627920654,405.7266095482311,11.706178578345924,0.5506488475692427,0.5506488475692427,448.0
Gran Mendoza,Varón,65+,"Posgrado (especialización, maestría o doctorado)",93307.201953072,755.5239024540244,45644.8546759161,369.5939649871749,9.3702699037027,0.317374203173742,0.317374203173742,268.0
Gran Mendoza,Mujer,15-19,Primario,,,,,,,,572.0
Gran Mendoza,Mujer,15-19,Secundario,1036.889911590166,8.395869729475027,4166.834989125828,33.73955456782047,2.205684066044972,0.1174760809010536,0.0895805579104598,31392.0
Gran Mendoza,Mujer,15-19,Terciario no universitario,10038.592806510896,81.28415227944045,10336.035890286636,83.69259830191609,12.546075085324231,0.7429771593594119,0.4486741927014964,1991.0
Gran Mendoza,Mujer,15-19,Universitario de grado,3100.606834877036,25.10612821762782,6861.017242395732,55.55479548498568,4.624081763015012,0.1510699457042478,0.1510699457042478,5569.0
Gran Mendoza,Mujer,15-19,"Posgrado (especialización, maestría o doctorado)",,,,,,,,4.0
Gran Mendoza,Mujer,20-24,Primario,4238.677210639828,34.321272960646375,5353.416182312064,43.347499451919546,0.0,0.0,0.0,314.0
Gran Mendoza,Mujer,20-24,Secundario,15638.263816966388,126.62561795114485,17790.02139079923,144.04875620080347,9.928820261745598,0.5757461632614631,0.3905470294699181,3002.0
Gran Mendoza,Mujer,20-24,Terciario no universitario,18681.278871869683,151.26541596655613,15307.578729599338,123.94800590768696,22.34767809384877,0.7188183807439825,0.7188183807439825,5314.0
Gran Mendoza,Mujer,20-24,Universitario de grado,10116.737479974923,81.91690267186173,16268.4057559402,131.72798182947528,8.029741589468552,0.4854774674374869,0.3481228668941979,13467.0
Gran Mendoza,Mujer,20-24,"Posgrado (especialización, maestría o doctorado)",17325.15337423313,140.28464270634117,19517.77023734592,158.03862540361067,19.975460122699385,1.0,0.4699386503067485,284.0
Gran Mendoza,Mujer,25-29,Primario,13617.361784675071,110.26203874230828,12831.27654722181,103.89697609086488,17.645004849660523,0.5407371483996121,0.5407371483996121,324.0
Gran Mendoza,Mujer,25-29,Secundario,26563.059038662486,215.08549828876508,22871.8945998327,185.1975271241514,10.20559038662487,0.4673458725182863,0.4673458725182863,1502.0
Gran Mendoza,Mujer,25-29,Terciario no universitario,36097.4200715961,292.28680219915867,22471.26609222584,181.9535715969703,30.053326749783977,0.8631033205777064,0.8631033205777064,3717.0
Gran Mendoza,Mujer,25-29,Universitario de grado,30158.82260842336,244.200992780756,23230.736249137743,188.10312752338257,20.824722091748864,0.8488335681853766,0.8488335681853766,6847.0
Gran Mendoza,Mujer,25-29,"Posgrado (especialización, maestría o doctorado)",68061.7223910841,551.1070638954178,49796.36693526248,403.2094488685221,22.18642350557244,0.91225937183384,0.91225937183384,699.0
Gran Mendoza,Mujer,30-34,Primario,37994.43037974684,307.647209552606,21465.33842708884,173.80840831650883,8.100843881856541,0.7586497890295358,0.5978902953586498,409.0
Gran Mendoza,Mujer,30-34,Secundario,32581.618195376584,263.8187708127659,14441.73432097925,116.93712000792917,11.244220730797911,0.722719363658961,0.722719363658961,1197.0
Gran Mendoza,Mujer,30-34,Terciario no universitario,47280.21552246035,382.8357532183024,28915.504595416485,234.13364044871648,27.57488800096864,0.9528998668119628,0.7951325826371232,2679.0
Gran Mendoza,Mujer,30-34,Universitario de grado,63126.16443904415,511.1430318950944,36514.50662292244,295.6640212382384,28.110368570271365,0.9133252328878088,0.8961117861482382,3548.0
Gran Mendoza,Mujer,30-34,"Posgrado (especialización, maestría o doctorado)",68658.58272600404,555.9399411012473,45268.3347232504,366.5452204311773,31.211738253992863,0.8582726004031633,0.8582726004031633,944.0
Gran Mendoza,Mujer,35-39,Primario,13305.35117056856,107.73563700865232,14814.421862185272,119.95483289218843,10.715719063545151,0.4464882943143812,0.4464882943143812,386.0
Gran Mendoza,Mujer,35-39,Secundario,57837.17472118959,468.31720422015866,43569.42080964795,352.78883246678504,18.32912019826518,0.7410161090458488,0.6275092936802974,897.0
Gran Mendoza,Mujer,35-39,Terciario no universitario,33706.48565672072,272.92700936615967,22147.80095128633,179.3344206581889,20.51012184591768,0.7462342895519524,0.6576801304806678,1842.0
Gran Mendoza,Mujer,35-39,Universitario de grado,35803.96242527754,289.9106269253242,32185.49202970412,260.6112714955799,17.682835183603757,0.7755764304013664,0.6175918018787361,2097.0
Gran Mendoza,Mujer,35-39,"Posgrado (especialización, maestría o doctorado)",63233.730067902645,512.014008646985,41489.93009239737,335.950850950586,24.30563820859083,1.0,0.9364461738002594,874.0
Gran Mendoza,Mujer,40-44,Primario,14710.77383497221,119.115577611111,8871.689713157763,71.83554423609525,0.0,0.2064985036340316,0.0,398.0
Gran Mendoza,Mujer,40-44,Secundario,25773.19381498267,208.6898284613981,28474.687762033853,230.5642733767924,14.831511596907491,0.6894161556918155,0.5290589176219674,854.0
Gran Mendoza,Mujer,40-44,Terciario no universitario,36327.0658842358,294.14628246344773,35965.46647625035,291.21835203441583,18.222637147683827,0.7994131768471593,0.7090779763492487,1483.0
Gran Mendoza,Mujer,40-44,Universitario de grado,59854.28954423592,484.65011776709247,58977.05694314424,477.5470197825444,20.00991957104557,0.9105898123324396,0.7867292225201072,1531.0
Gran Mendoza,Mujer,40-44,"Posgrado (especialización, maestría o doctorado)",60982.89339526453,493.788610487972,38909.88711606499,315.05981470497966,27.501925909142404,0.937521241644953,0.937521241644953,822.0
Gran Mendoza,Mujer,45-49,Primario,15925.931514799768,128.95491105101027,13153.472371598444,106.50584916274045,4.737666860127685,0.5767072934803638,0.3933062487908686,347.0
Gran Mendoza,Mujer,45-49,Secundario,27580.968280467445,223.32767838435177,26724.14647977461,216.3898500386608,22.648580968280463,0.6446160267111853,0.6446160267111853,676.0
